community	medium	receiver	donor	compound	scs	mus	mps	smetana
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_ala__D_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_ala__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_alaala_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_arg__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_cellb_e	0.3333333333333333	0.04	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_cu2_e	0.3333333333333333	1.0	1	0.3333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_cys__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_fe2_e	0.3333333333333333	0.88	1	0.29333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_fe3_e	0.3333333333333333	0.11	1	0.03666666666666667
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_glc__D_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_glu__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_gly_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_glyald_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_glyc_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_gthrd_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_gua_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_h2s_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_h_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_indole_e	0.3333333333333333	0.03	1	0.009999999999999998
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_leu__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_lys__L_e	0.3333333333333333	0.03	1	0.009999999999999998
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_met__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_nh4_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_orn_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_phe__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_pi_e	0.3333333333333333	0.05	1	0.016666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_rib__D_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_s_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_ser__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_thr__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_thym_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_trp__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_tyr__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_ump_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_ura_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-040_bin.3_rename	M_val__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_LalaDgluMdapDala_e	0.6666666666666666	0.02	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_acald_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_agm_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_ala__D_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_alaala_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_arg__L_e	0.6666666666666666	0.02	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_cellb_e	0.6666666666666666	0.04	1	0.026666666666666665
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_cu2_e	0.6666666666666666	1.0	1	0.6666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_cys__L_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_fald_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_fe2_e	0.6666666666666666	0.88	1	0.5866666666666667
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_fe3_e	0.6666666666666666	0.11	1	0.07333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_g3pe_e	0.6666666666666666	0.83	1	0.5533333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_glc__D_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_glu__L_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_gly_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_glyald_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_glyc_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_gthrd_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_gua_e	0.6666666666666666	0.02	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_h2s_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_h_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_ile__L_e	0.6666666666666666	0.02	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_indole_e	0.6666666666666666	0.03	1	0.019999999999999997
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_istfrnA_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_leu__L_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_lys__L_e	0.6666666666666666	0.03	1	0.019999999999999997
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_met__D_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_met__L_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_nh4_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_orn_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_pi_e	0.6666666666666666	0.05	1	0.03333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_rib__D_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_s_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_ser__L_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_thr__L_e	0.6666666666666666	0.02	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_thym_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_ura_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_urea_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.20_rename	M_val__L_e	0.6666666666666666	0.01	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_LalaDgluMdapDala_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_acald_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_agm_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_ala__D_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_ala__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_alaala_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_arg__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_bz_e	0.3333333333333333	1.0	1	0.3333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_cellb_e	0.3333333333333333	0.04	1	0.013333333333333332
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_cu2_e	0.3333333333333333	1.0	1	0.3333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_cys__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_fe2_e	0.3333333333333333	0.88	1	0.29333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_fe3_e	0.3333333333333333	0.11	1	0.03666666666666667
